1, 610, 130, 114, 77
1, 901, 126, 51, 38
1, 919, 118, 50, 51
1, 616, 107, 87, 73
1, 1213, 128, 78, 96
1, 944, 118, 63, 53
1, 973, 111, 78, 69
1, 1395, 457, 245, 192
2, 612, 129, 108, 80
2, 901, 126, 51, 39
2, 919, 118, 51, 51
2, 616, 107, 87, 72
2, 1215, 128, 78, 93
2, 943, 118, 63, 53
2, 974, 111, 80, 70
2, 1395, 457, 245, 192
3, 612, 129, 107, 80
3, 902, 126, 50, 39
3, 919, 118, 51, 51
3, 616, 107, 87, 72
3, 1215, 128, 78, 93
3, 943, 118, 63, 53
3, 974, 111, 80, 70
3, 1395, 457, 245, 192
4, 902, 126, 50, 39
4, 612, 130, 102, 76
4, 919, 118, 51, 51
4, 616, 107, 87, 72
4, 943, 118, 65, 51
4, 1215, 128, 78, 95
4, 974, 111, 80, 70
4, 1395, 457, 245, 192
5, 611, 130, 114, 77
5, 902, 126, 50, 41
5, 919, 118, 51, 51
5, 616, 107, 87, 70
5, 943, 118, 63, 51
5, 1215, 128, 78, 93
5, 973, 111, 81, 70
5, 1395, 457, 245, 190
6, 611, 130, 114, 77
6, 902, 126, 50, 41
6, 919, 118, 51, 51
6, 616, 107, 87, 70
6, 943, 118, 65, 51
6, 1215, 128, 78, 93
6, 974, 111, 80, 70
6, 1395, 457, 245, 190
7, 611, 130, 114, 77
7, 902, 126, 50, 41
7, 919, 118, 51, 51
7, 616, 107, 87, 70
7, 943, 118, 63, 51
7, 1215, 128, 78, 93
7, 973, 111, 81, 70
7, 1395, 457, 245, 190
8, 612, 130, 114, 77
8, 902, 125, 51, 41
8, 919, 118, 51, 51
8, 616, 107, 87, 70
8, 943, 118, 65, 53
8, 1215, 128, 78, 95
8, 974, 111, 81, 70
8, 1395, 457, 245, 190
9, 612, 130, 114, 77
9, 902, 126, 50, 41
9, 919, 119, 51, 53
9, 616, 107, 87, 70
9, 943, 118, 65, 51
9, 1215, 128, 80, 95
9, 974, 111, 81, 70
9, 1395, 457, 245, 190
10, 612, 130, 114, 77
10, 902, 127, 50, 39
10, 919, 119, 51, 53
10, 616, 107, 87, 70
10, 944, 118, 63, 51
10, 1213, 129, 81, 95
10, 974, 111, 81, 70
10, 1395, 457, 245, 190
11, 902, 125, 51, 41
11, 612, 130, 114, 77
11, 919, 119, 51, 51
11, 616, 107, 87, 70
11, 943, 118, 65, 51
11, 1212, 129, 81, 95
11, 974, 111, 81, 70
11, 1395, 457, 245, 190
12, 902, 125, 51, 41
12, 612, 130, 114, 77
12, 919, 119, 51, 51
12, 616, 107, 87, 70
12, 943, 118, 65, 51
12, 1212, 129, 81, 95
12, 974, 111, 81, 70
12, 1395, 457, 245, 190
13, 902, 126, 50, 39
13, 612, 131, 114, 77
13, 920, 119, 51, 51
13, 616, 107, 87, 73
13, 944, 118, 66, 51
13, 1212, 129, 81, 95
13, 974, 111, 83, 70
13, 1395, 457, 245, 190
14, 612, 131, 114, 77
14, 902, 126, 48, 41
14, 920, 119, 50, 53
14, 616, 107, 87, 73
